Source Row,G1 Price Model,G2 Equivalent
287,CHC 32-8-2,CHC 32-80-2
288,CHC 32-8,CHC 32-80
289,CHC 32-9-2,CHC 32-90-2
290,CHC 32-9,CHC 32-90
291,CHC 32-10-2,CHC 32-100-2
292,CHC 32-10,CHC 32-100
293,CHC 32-11-2,CHC 32-110-2
294,CHC 32-11,CHC 32-110
295,CHC 32-12-2,CHC 32-120-2
296,CHC 32-12,CHC 32-120
297,CHC 32-13-2,CHC 32-130-2
298,CHC 32-13,CHC 32-130
299,CHC 32-14-2,CHC 32-140-2
300,CHC 32-14,CHC 32-140
301,CHC 32-15-2,CHC 32-150-2
302,CHC 32-15,CHC 32-150
303,CHC 32-16-2,CHC 32-160-2
304,CHC 32-16,CHC 32-160
305,CHC 45-1-1,CHC 45-10-1
306,CHC 45-1,CHC 45-10
307,CHC 45-2-2,CHC 45-20-2
308,CHC 45-2,CHC 45-20
309,CHC 45-3-2,CHC 45-30-2
310,CHC 45-3,CHC 45-30
311,CHC 45-4-2,CHC 45-40-2
312,CHC 45-4,CHC 45-40
313,CHC 45-5-2,CHC 45-50-2
314,CHC 45-5,CHC 45-50
315,CHC 45-6-2,CHC 45-60-2
316,CHC 45-6,CHC 45-60
317,CHC 45-7-2,CHC 45-70-2
318,CHC 45-7,CHC 45-70
319,CHC 45-8-2,CHC 45-80-2
320,CHC 45-8,CHC 45-80
321,CHC 45-9-2,CHC 45-90-2
322,CHC 45-9,CHC 45-90
323,CHC 45-10-2,CHC 45-100-2
324,CHC 45-10,CHC 45-100
325,CHC 45-11-2,CHC 45-110-2
326,CHC 45-11,CHC 45-110
327,CHC 45-12-2,CHC 45-120-2
328,CHC 45-12,CHC 45-120
329,CHC 45-13-2,CHC 45-130-2
330,CHC 64-1-1,CHC 64-10-1
331,CHC 64-1,CHC 64-10
332,CHC 64-2-2,CHC 64-20-2
333,CHC 64-2-1,CHC 64-20-1
334,CHC 64-2,CHC 64-20
335,CHC 64-3-2,CHC 64-30-2
336,CHC 64-3-1,CHC 64-30-1
337,CHC 64-3,CHC 64-30
338,CHC 64-4-2,CHC 64-40-2
339,CHC 64-4-1,CHC 64-40-1
340,CHC 64-4,CHC 64-40
341,CHC 64-5-2,CHC 64-50-2
342,CHC 64-5-1,CHC 64-50-1
343,CHC 64-5,CHC 64-50
344,CHC 64-6-2,CHC 64-60-2
345,CHC 64-6-1,CHC 64-60-1
346,CHC 64-6,CHC 64-60
347,CHC 64-7-2,CHC 64-70-2
348,CHC 64-7-1,CHC 64-70-1
349,CHC 64-7,CHC 64-70
350,CHC 64-8-2,CHC 64-80-2
351,CHC 64-8-1,CHC 64-80-1
352,CHC 90-1-1,CHC 90-10-1
353,CHC 90-1,CHC 90-10
354,CHC 90-2-2,CHC 90-20-2
355,CHC 90-2,CHC 90-20
356,CHC 90-3-2,CHC 90-30-2
357,CHC 90-3,CHC 90-30
358,CHC 90-4-2,CHC 90-40-2
359,CHC 90-4,CHC 90-40
360,CHC 90-5-2,CHC 90-50-2
361,CHC 90-5,CHC 90-50
362,CHC 90-6-2,CHC 90-60-2
363,CHC 90-6,CHC 90-60
364,CHC 120-1,CHC 120-10
